No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Forward P/E,PEG,P/S,P/B,P/Cash,P/Free Cash Flow,Dividend Yield,Payout Ratio,EPS (ttm),EPS growth this year,EPS growth next year,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,EPS growth quarter over quarter,Sales growth quarter over quarter,Shares Outstanding,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Float Short,Short Ratio,Return on Assets,Return on Equity,Return on Investment,Current Ratio,Quick Ratio,LT Debt/Equity,Total Debt/Equity,Gross Margin,Operating Margin,Profit Margin,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (YTD),Beta,Average True Range,Volatility (Week),Volatility (Month),20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,50-Day High,50-Day Low,52-Week High,52-Week Low,Relative Strength Index (14),Change from Open,Gap,Analyst Recom,Average Volume,Relative Volume,Price,Change,Volume,Earnings Date,Target Price,IPO Date,After-Hours Close,After-Hours Change
14,AAN,"The Aaron's Company, Inc.",Industrials,Rental & Leasing Services,USA,658.09,7.38,7.41,,0.36,0.93,44.47,58.24,1.93%,10.50%,2.81,15.90%,-20.11%,-37.70%,-12.10%,-4.00%,109.20%,-65.30%,32.48,30.81,1.20%,-13.83%,96.50%,-0.16%,2.20%,2.99,7.10%,13.30%,-36.30%,,,0,0,63.20%,7.00%,5.30%,-2.63%,-16.26%,-10.17%,-28.09%,22.55%,-15.78%,,0.96,6.10%,4.27%,-9.88%,-12.48%,-25.91%,-21.24%,1.31%,-44.63%,24.76%,31.61,-0.57%,0.77%,2.7,226.44,1.87,20.76,0.19%,422557,10/26/2021 8:30:00 AM,33.5,11/04/1982,20.76,0.00%
15,AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductors,USA,107.46,,,,0.51,0.39,2.47,,,,-2.05,19.10%,19.20%,-43.50%,13.00%,4.30%,-37.90%,-30.40%,27.1,25.35,6.50%,0.00%,51.80%,3.78%,15.43%,5.23,-11.20%,-19.30%,-13.20%,2.1,1.1,0.37,0.55,19.50%,-26.90%,-25.30%,-1.04%,-27.92%,-50.13%,-50.58%,-65.30%,-25.68%,1.74,0.22,6.69%,5.55%,-13.80%,-26.68%,-45.23%,-38.78%,5.23%,-70.55%,5.23%,27.77,1.60%,-0.27%,2.7,748.12,0.31,3.82,1.33%,228196,11/04/2021 16:30,15.36,9/26/2013,3.82,0.00%
16,AAON,"AAON, Inc.",Industrials,Building Products & Equipment,USA,3280.42,46.87,36.99,3.91,6.37,8.18,32.22,93.46,0.61%,27.80%,1.33,45.90%,34.88%,12.10%,12.00%,7.50%,-24.40%,2.80%,52.42,41.56,16.60%,-0.53%,71.20%,0.02%,2.51%,4.83,14.60%,19.00%,22.10%,3.6,2.2,0.02,0.02,28.20%,17.40%,13.90%,-4.78%,-21.57%,-12.58%,0.60%,-15.51%,-21.29%,0.65,2.38,4.32%,3.36%,-12.78%,-17.62%,-9.23%,-25.38%,1.10%,-25.38%,5.57%,22.84,0.99%,-0.08%,3,215.93,0.65,62.52,0.90%,139300,11/04/2021 16:30,71,1/03/1991,62.52,0.00%
17,AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,14430.35,23.1,17.25,1.29,1.32,4.49,23.87,21.92,1.75%,25.10%,9.88,4.40%,11.25%,2.20%,17.90%,0.70%,25.90%,3.10%,62.85,62.08,0.10%,-5.25%,,-0.18%,4.18%,3.95,5.50%,19.10%,11.80%,1.2,0.3,0.32,0,45.10%,8.00%,5.90%,0.92%,-5.31%,1.43%,7.62%,53.02%,-4.86%,1.25,6.17,3.34%,2.66%,-2.74%,-2.18%,6.48%,-6.68%,4.58%,-6.68%,53.91%,44.66,1.99%,-0.60%,2.2,657.59,0.81,228.22,1.38%,533732,11/15/2021 4:30:00 PM,261.24,11/29/2001,228.22,0.00%
18,AAPL,Apple Inc.,Technology,Consumer Electronics,USA,2818208.67,30.38,27.49,1.92,7.7,44.47,44.99,35.91,0.52%,15.00%,5.61,71.40%,7.83%,22.00%,15.85%,11.10%,68.20%,28.80%,16487.12,16322.83,0.07%,-19.75%,59.20%,0.19%,0.55%,0.92,27.60%,144.10%,50.00%,1.1,1,1.74,1.99,41.80%,29.80%,25.90%,4.88%,-5.05%,11.64%,16.78%,29.08%,-4.08%,1.21,4.91,4.18%,2.72%,-0.04%,0.67%,15.14%,-6.89%,14.06%,-6.89%,46.57%,53.05,2.78%,4.08%,1.8,98023.71,1.83,170.33,6.98%,179544240,1/27/2022 4:30:00 PM,180.84,12/12/1980,170.32,-0.01%
19,AAQC,Accelerate Acquisition Corp.,Financial,Shell Companies,USA,387.2,,,,,,,,,,,,,,,,,,40,,,,,,,0.1,,,,,,,,,,,-0.21%,-0.41%,-0.92%,0.00%,,-0.41%,,0.02,0.06%,0.19%,-0.34%,-0.46%,-0.29%,-1.22%,0.00%,-2.81%,0.84%,42.19,0.00%,0.00%,,66.48,0.01,9.68,0.00%,630,,,5/10/2021,,
20,AAT,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA,2172.36,92.12,44.17,30.71,6.11,1.71,12.64,,3.37%,287.80%,0.39,-45.30%,111.84%,-11.70%,3.00%,4.60%,99.00%,16.50%,59.99,59.5,0.80%,284.32%,98.60%,0.04%,1.39%,3.16,0.80%,1.80%,3.30%,,,1.32,1.32,65.00%,24.30%,6.50%,0.03%,-3.26%,-6.84%,-3.71%,28.70%,-5.25%,1.22,1.05,4.04%,2.69%,-4.75%,-3.08%,-4.58%,-9.29%,5.14%,-12.91%,30.69%,40.8,2.42%,0.03%,2.8,261.11,1,35.56,2.45%,260988,2/08/2022 16:30,39.1,1/13/2011,35.56,0.00%
21,AATC,Autoscope Technologies Corporation,Technology,Scientific & Technical Instruments,USA,34.04,11.87,,0.59,2.64,1.64,4.05,18.91,7.56%,0.00%,0.54,-84.90%,,21.20%,20.00%,-2.80%,396.50%,11.80%,5.34,3.12,9.50%,0.39%,28.90%,-0.45%,0.38%,0.61,10.80%,11.60%,5.30%,13.2,12.4,0,0,78.40%,18.10%,17.80%,5.13%,-1.30%,-5.93%,-4.65%,43.34%,0.95%,1.06,0.25,6.76%,3.54%,2.86%,-1.61%,-7.45%,-10.56%,25.49%,-45.16%,56.26%,53.95,0.79%,1.94%,,19.24,1.81,6.35,2.75%,34815,,,5/05/1995,,
22,AAU,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,41.18,,,,,0.58,4.52,,,,-0.03,20.80%,,-11.30%,,,-396.70%,,137.22,131.63,7.20%,0.00%,5.00%,-0.14%,0.72%,1.48,-5.00%,-5.30%,,24.3,24.3,0.04,0.04,,,,-1.97%,-3.05%,-25.91%,-36.69%,-61.61%,-6.71%,0.88,0.02,4.16%,5.62%,-4.02%,-9.97%,-33.17%,-30.15%,3.48%,-76.72%,3.48%,42.84,-2.44%,0.49%,,637.78,0.72,0.28,-1.97%,456454,,1,10/17/2003,0.28,0.22%
23,AAWW,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA,2176.03,4.44,5.68,0.44,0.57,0.84,,2.95,,0.00%,17.07,218.90%,-24.01%,115.40%,10.00%,12.00%,40.70%,25.50%,29.02,27.2,0.40%,-40.25%,,0.23%,16.72%,7.88,8.20%,20.50%,7.80%,0.8,0.8,0.64,0.9,57.00%,16.90%,13.20%,-3.18%,-19.13%,-6.73%,13.21%,46.31%,-19.44%,1.19,2.9,3.80%,3.51%,-10.87%,-13.49%,-2.05%,-21.94%,0.28%,-21.94%,48.49%,27.2,-0.22%,-0.12%,2.1,576.85,1.23,75.82,-0.34%,711419,11/03/2021 8:30,105.57,7/21/2004,75.82,0.00%
24,AAXJ,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,1.15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.38%,-3.87%,-9.64%,-10.05%,-15.55%,-4.50%,,1.22,1.73%,1.28%,-4.52%,-5.33%,-10.51%,-10.65%,0.28%,-22.90%,0.28%,33.23,0.37%,-0.09%,,1289.13,0.86,78.98,0.28%,1109577,,,8/15/2008,78.98,0.00%
25,AB,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,4682.21,12.92,11.64,,12.2,2.93,,,7.85%,95.70%,3.53,15.90%,8.71%,9.30%,-3.88%,8.00%,28.30%,29.80%,99.41,93.8,5.02%,0.00%,13.90%,1.47%,1.06%,3.07,22.10%,22.20%,17.40%,,,0,0,,100.00%,92.20%,-4.68%,-6.48%,-18.34%,-5.53%,29.00%,-6.63%,1.36,1.9,5.61%,3.73%,-6.14%,-8.75%,-6.49%,-19.12%,4.78%,-20.75%,29.95%,35.58,-1.89%,0.58%,2.3,324.48,1.22,45.6,-1.32%,396399,10/28/2021 8:30:00 AM,57.1,4/14/1988,45.75,0.33%
26,ABB,ABB Ltd,Industrials,Specialty Industrial Machinery,Switzerland,71974.82,33.52,20.58,2.3,2.52,4.87,15.78,68.88,2.56%,90.70%,1.01,-71.60%,17.02%,-30.70%,14.60%,-5.90%,235.20%,6.80%,2001,1886.86,,,6.10%,0.40%,0.08%,0.92,4.60%,12.80%,4.30%,1.1,0.8,0.31,0.48,32.70%,11.10%,6.40%,-6.68%,-12.13%,2.29%,-7.26%,15.08%,-11.03%,1.05,0.86,2.93%,1.66%,-8.77%,-7.29%,-3.78%,-13.17%,-0.24%,-13.17%,18.68%,29.92,1.25%,-2.90%,2.2,1566.72,1.78,33.96,-1.68%,2794164,2/03/2022 8:30,40.57,4/06/2001,33.96,0.00%
27,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,245765.16,32.83,9.87,7.02,4.45,18.01,20.06,19.46,4.09%,120.40%,4.2,-48.50%,10.25%,-2.80%,4.67%,14.90%,37.60%,11.20%,1770,1765.83,0.10%,-22.47%,68.30%,0.00%,0.81%,2.08,5.00%,56.40%,12.70%,1,0.9,5.46,5.96,67.90%,30.10%,13.50%,4.50%,1.89%,25.76%,18.59%,34.58%,1.86%,0.81,2.75,2.65%,1.85%,2.15%,7.57%,17.70%,-0.27%,19.92%,-0.27%,35.47%,64.75,1.40%,0.04%,2,6872.76,1.17,137.92,1.43%,8012561,2/02/2022 8:30,139.71,12/10/2012,137.5,-0.30%
28,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,28767.67,18.52,11.91,1.81,0.13,127.85,9.85,15.47,1.35%,23.50%,7.39,144.40%,7.42%,3.20%,10.22%,7.80%,108.70%,19.60%,207.91,148.76,0.20%,-40.53%,65.20%,-0.13%,1.26%,1.97,3.00%,-858.30%,24.30%,0.9,0.6,28.58,29.92,3.20%,1.10%,0.70%,4.01%,2.59%,13.34%,11.98%,31.29%,2.94%,0.49,3.11,2.97%,2.31%,2.74%,7.56%,12.37%,-0.11%,20.34%,-0.11%,35.84%,64.48,1.67%,-0.10%,2.2,947.92,0.91,136.8,1.57%,858901,2/02/2022 8:30,150.92,4/04/1995,136.8,0.00%
29,ABCB,Ameris Bancorp,Financial,Banks - Regional,USA,3425.23,8.77,10.68,1.1,4.87,1.17,0.91,36.52,1.23%,10.70%,5.58,37.00%,-15.24%,24.30%,8.00%,30.70%,-30.10%,-3.80%,69.44,65.97,0.80%,-0.30%,92.80%,0.09%,3.14%,5.12,1.80%,14.00%,13.80%,,,0.17,0.17,,96.80%,55.30%,-2.78%,-2.71%,-8.87%,0.58%,25.01%,-1.59%,1.23,1.93,5.45%,3.53%,-6.67%,-4.02%,-4.96%,-12.10%,5.82%,-18.31%,33.58%,37.33,0.89%,-2.44%,2.1,404.17,1.64,48.89,-1.57%,661889,1/27/2022 4:30:00 PM,60.71,5/19/1994,48.89,0.00%
30,ABCL,AbCellera Biologics Inc.,Healthcare,Biotechnology,Canada,2542.04,12.01,,1.2,5.73,2.51,4.91,11.99,,0.00%,0.71,11.10%,-116.00%,,10.00%,,,-78.20%,278.93,196.4,21.00%,0.10%,43.70%,0.20%,6.44%,6.13,18.90%,22.70%,13.60%,16.2,16.2,0,0,,63.90%,47.40%,-0.58%,-37.16%,-46.04%,-43.38%,-83.74%,-39.93%,,0.84,10.56%,8.31%,-21.23%,-34.21%,-54.39%,-48.50%,15.77%,-84.44%,15.77%,29.61,4.50%,5.79%,1.7,2062.81,1.29,8.59,10.55%,2665347,11/09/2021 16:30,38.88,12/11/2020,8.55,-0.47%
31,ABCM,Abcam plc,Healthcare,Biotechnology,USA,4239,176.87,,,10.47,4.49,,123.59,,0.00%,0.1,-72.70%,,,,,-60.70%,18.30%,219.6,195.15,,,10.70%,4.79%,0.13%,1.44,1.80%,2.60%,2.00%,5.6,4.8,0.17,0.19,71.10%,3.50%,4.20%,4.23%,-25.65%,-24.62%,-7.40%,-24.30%,-25.65%,,0.72,3.74%,3.08%,-10.27%,-18.05%,-15.15%,-27.04%,10.61%,-28.18%,10.61%,33.1,1.86%,1.18%,2,179.12,0.47,17.51,3.06%,84151,,22.67,10/22/2020,17.51,0.00%
32,ABEO,Abeona Therapeutics Inc.,Healthcare,Biotechnology,USA,26.06,,,,8.69,0.29,0.39,,,,-0.57,40.00%,22.20%,-11.50%,,57.30%,6.90%,,97.99,86.02,1.50%,-9.15%,26.00%,,1.72%,0.45,-39.90%,-60.00%,-78.10%,2.6,2.6,0,0,,,,1.74%,-18.35%,-71.10%,-80.81%,-87.74%,-30.53%,1.38,0.03,13.46%,11.36%,-17.82%,-48.69%,-78.89%,-74.31%,13.75%,-93.82%,13.75%,30.73,2.99%,1.75%,2.3,3316.71,0.68,0.23,4.79%,2270962,,3,9/19/1980,0.22,-4.91%
33,ABEQ,Absolute Core Strategy ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,0.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.19%,-1.64%,1.08%,1.40%,10.55%,-1.53%,,0.28,1.31%,0.83%,-1.69%,-0.20%,0.88%,-3.67%,4.54%,-3.67%,11.08%,43.14,1.13%,-0.42%,,5.14,0.58,28.01,0.71%,2974,,,1/22/2020,28.08,0.24%
34,ABEV,Ambev S.A.,Consumer Defensive,Beverages - Brewers,Brazil,43596.2,15.05,21.31,1.91,0.63,0.5,,,3.97%,,0.18,0.00%,-7.10%,39.83%,7.90%,,56.20%,18.50%,15738.7,4400.42,,,9.02%,,0.77%,1.44,,,,,,,,,,,3.75%,2.21%,-2.90%,-9.95%,2.32%,-1.07%,,0.08,3.47%,2.61%,2.86%,0.65%,-7.43%,-10.23%,9.49%,-27.73%,19.88%,54.35,-1.07%,-1.06%,3,23725.1,1.19,2.77,-2.12%,28171165,10/28/2021 8:30:00 AM,3.5,11/11/2013,2.76,-0.36%
35,ABG,"Asbury Automotive Group, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA,3632.23,6.32,5.46,0.34,0.39,2.33,10.99,3.71,,0.00%,24.82,38.00%,11.11%,15.50%,18.50%,1.60%,52.00%,30.40%,19.3,17.44,0.10%,0.00%,91.10%,1.31%,7.75%,3.64,13.40%,44.20%,11.20%,1.7,1.1,1.02,1.16,18.40%,7.50%,5.10%,-0.22%,-7.16%,-19.98%,-23.63%,10.02%,-9.16%,1.53,7.22,5.96%,4.47%,-6.85%,-6.40%,-15.64%,-15.55%,2.26%,-32.07%,13.73%,40.34,0.83%,0.43%,2.2,370.79,0.75,156.9,1.27%,277884,2/15/2022 8:30:00 AM,248.12,3/14/2002,156.9,0.00%
36,ABGI,ABG Acquisition Corp. I,Financial,Shell Companies,USA,187.5,,,,,1.28,312.5,,,,-0.1,,,,,,,,19.33,15.06,3.22%,0.00%,78.70%,,0.02%,0.06,,,,4.3,4.3,0,0,,,,-0.41%,-1.02%,-0.41%,-2.41%,,-0.82%,,0.03,0.00%,0.19%,-0.60%,-0.75%,-1.43%,-2.02%,0.00%,-9.26%,0.94%,37.45,0.00%,0.00%,,61.11,0,9.7,0.00%,216,,,2/17/2021,,
37,ABIO,"ARCA biopharma, Inc.",Healthcare,Biotechnology,USA,26.55,,,,,0.45,0.46,,,,-1.54,50.20%,,42.50%,,,0.70%,,14.41,14.3,0.40%,,10.60%,,2.27%,0.69,-30.60%,-32.60%,,18.8,18.8,0,0,,,,-7.81%,-19.55%,-32.44%,-43.99%,-57.86%,-17.67%,2.39,0.12,7.87%,5.47%,-12.95%,-20.14%,-39.03%,-32.95%,3.51%,-67.82%,3.51%,26.81,0.57%,-2.22%,,471.61,0.2,1.77,-1.67%,95236,11/02/2021 16:30,,8/08/1997,1.81,2.26%
38,ABM,ABM Industries Incorporated,Industrials,Specialty Business Services,USA,2788.23,21.9,10.75,1.37,0.45,1.71,44.4,12.18,1.92%,40.20%,1.86,-4.70%,10.89%,11.10%,16.00%,3.90%,-35.50%,14.20%,67.7,66.36,1.20%,-0.49%,98.00%,-0.05%,2.07%,3.16,3.20%,7.90%,6.10%,1.1,1.1,0.53,0.55,15.60%,3.30%,2.00%,-1.36%,0.30%,-7.08%,-12.43%,10.81%,-0.34%,1.23,1.4,4.20%,3.27%,-3.97%,-6.80%,-12.56%,-17.17%,5.91%,-26.62%,12.12%,40.58,0.79%,-0.07%,2,434.9,1.09,40.71,0.72%,474563,12/15/2021 8:30:00 AM,56.75,2/13/1969,40.71,0.00%
39,ABMD,"Abiomed, Inc.",Healthcare,Medical Devices,USA,12540.02,85.26,56.45,8.3,12.88,9.1,19.27,53.75,,0.00%,3.25,11.40%,17.10%,42.20%,10.27%,20.80%,-8.90%,18.30%,45.44,44.56,1.40%,-12.65%,92.90%,0.37%,2.30%,3.04,10.10%,11.30%,12.50%,7.6,6.9,0,0,81.90%,14.90%,15.30%,-8.97%,-23.38%,-19.20%,-15.25%,-20.39%,-22.81%,1.35,13.75,5.60%,4.50%,-13.05%,-14.38%,-15.15%,-25.17%,0.82%,-28.43%,6.12%,31.71,-0.50%,0.48%,2.5,336.73,2.54,277.25,-0.02%,856194,2/03/2022 8:30,378.4,7/29/1987,277.25,0.00%
40,ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,USA,90124.99,,148.56,,16.94,19.94,11.38,54.92,,,-7.23,-566.20%,250.00%,,,29.70%,232.40%,66.70%,621.01,336.88,3.90%,-14.97%,58.80%,-0.07%,3.85%,1.98,-33.10%,-123.50%,-74.20%,1.9,1.9,0.45,0.45,62.00%,-58.70%,-80.70%,-8.91%,-14.73%,-16.85%,-0.86%,-22.25%,-14.25%,,8.84,7.47%,5.44%,-10.56%,-15.73%,-11.19%,-32.84%,5.16%,-35.09%,10.07%,35.1,3.40%,-0.25%,2.4,6529.32,0.84,142.77,3.15%,5509249,11/04/2021 16:30,194.06,12/10/2020,142.64,-0.09%
41,ABOS,"Acumen Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,195.29,,,,650.97,0.82,0.98,,,,-2.41,4.70%,77.10%,,32.10%,,-58.30%,,38.27,35.91,11.28%,0.00%,77.00%,0.17%,2.70%,6.65,,,42.50%,137.6,137.6,0,0,,,,-3.28%,-24.66%,-65.21%,-67.64%,,-25.89%,,0.45,8.50%,8.99%,-10.53%,-28.08%,-60.81%,-57.86%,8.56%,-81.43%,8.56%,30.58,4.16%,-0.82%,2,145.66,3.25,5.01,3.30%,473250,,24,7/01/2021,5.01,0.00%
